name,address,lat,lng,status,property_type,units,asking_price,avg_rent,notes
Country Club at Woodland Hills,6333 S 91st E Ave Tulsa OK 74133,36.0710,-95.8745,scouting,independent living,,,,"Tulsa OK; resort-style IL with cottages and apartments; rated Best Senior Living by US News"
University Village,8555 S Lewis Ave Tulsa OK 74137,36.0437,-95.9203,scouting,independent living,,,,"Tulsa OK; full continuum IL/AL/skilled nursing; locally owned Christian operators; 50+ years"
Imperial Club,2751 NE 183rd St Aventura FL 33160,25.9600,-80.1420,scouting,independent living,,,,"North Aventura FL; 55+ all-inclusive rental IL community; bay and city views; starts ~$2320/mo"
Montereau,6800 S Granite Ave Tulsa OK 74136,36.0595,-95.9530,scouting,continuing care retirement community,,,,"Tulsa OK; non-profit CCRC by William K. Warren Foundation; IL/AL/memory care/skilled nursing; ~$4922/mo"
Senior Star at Burgundy Place,8887 S Lewis Ave Tulsa OK 74137,36.0380,-95.9203,scouting,independent living,,,,"Tulsa OK; Senior Star brand; 10-story IL community; starts ~$3900/mo"
Town Village Tulsa,8222 S Yale Ave Tulsa OK 74137,36.0490,-95.9080,scouting,independent living,,,,"Tulsa OK; Grace Management; restaurant-style dining; IL focus"
Epworth Villa,14901 N Pennsylvania Ave Oklahoma City OK 73134,35.5720,-97.5370,scouting,continuing care retirement community,,,,"OKC OK; non-profit CCRC; Methodist-affiliated; IL/AL/memory care/skilled nursing; 62+ age req; ~$4169/mo"
Edgemere,8523 Thackery St Dallas TX 75225,32.8680,-96.7870,scouting,continuing care retirement community,,,,"Dallas TX; luxury Life Plan CCRC in Preston Hollow; Type A Life Care contract; IL/AL/memory care/skilled nursing"
Tealridge Retirement Community,2100 NE 140th St Edmond OK 73013,35.6890,-97.4150,scouting,independent living,,,,"Edmond OK; locally owned; IL/AL/memory care; starts ~$4600/mo"
Country Club of La Cholla,8700 N La Cholla Blvd Tucson AZ 85742,32.3580,-111.0130,scouting,independent living,,,,"NW Tucson AZ; Grace Management; IL/AL on 10 acres; resort-style near Foothills Mall"
Brookdale Santa Catalina,7500 N Calle Sin Envidia Tucson AZ 85718,32.3430,-110.9340,scouting,continuing care retirement community,,,,"Tucson AZ; formerly Santa Catalina Villas; Brookdale operator; CCRC IL/AL/memory care/skilled nursing; starts ~$5000-7000/mo"
The Fountains at La Cholla,2001 W Rudasill Rd Tucson AZ 85704,32.3480,-110.9960,scouting,independent living,,,,"Tucson AZ; Watermark operator (founded as The Fountains 1987); IL/AL/memory care; starts ~$4010/mo"
The Hacienda at the Canyon,3900 N Sabino Canyon Rd Tucson AZ 85750,32.3270,-110.8620,scouting,independent living,,,,"Tucson AZ; Watermark operator; sister property to Fountains at La Cholla; IL/AL/memory care; 60-acre campus; starts ~$3000-6500/mo"
The Hacienda at the River,2720 E River Rd Tucson AZ 85718,32.3400,-110.9200,scouting,independent living,,,,"Tucson AZ; Watermark operator; sister property to Fountains at La Cholla; smaller intimate campus; IL/AL/memory care"
